name,origin,first_touch_date,incorporated_date,icorps_inv_date,icorps_end_date,gra_1_inv_date,gra_2_inv_date,gra_3_inv_date,sbir_inv_date,total_investments
GTronix,School of Electrical and Computer Engineering,2004-07-01,,,,2005-01-01,,,,36290000.0
Singhose - Controll,School of Mechanical Engineering,2016-03-14,,,2016-05-20,,,,,50000.0
ChemCore Therapeutics,Department of Biomedical Engineering,2010-08-16,,,,2010-09-13,,,,25000.0
Orthonics,Department of Biomedical Engineering,2005-01-01,,,,,,,,240000.0
BISmark,School of Computer Science,2012-06-04,,2012-07-01,2012-12-31,,,,,50000.0
GaN bipolar switch,School of Electrical and Computer Engineering,2013-01-29,,,,,,,,25000.0
CameRad Technologies,School of Electrical and Computer Engineering,2014-10-01,2016-02-26,2014-10-01,2015-03-31,,,,,50000.0
Coreopsys Software Labs,College of Computing,2006-12-01,,,,2006-12-01,,,,200000.0
LiquidText,College of Computing,2009-09-22,,,,2009-10-26,,,,43000.0
Social Gaze,School of Interactive Computing,2015-11-03,,,2016-03-04,,,,,50000.0
Trivalve,Department of Biomedical Engineering,2008-03-31,,,,,,,,50000.0
Prionomics,School of Applied Biological Sciences,2011-10-24,,,,2012-01-23,,,,6000.0
MEMScan,School of Mechanical Engineering,2005-01-01,,,,2005-01-01,,,,35000.0
Audiallo,School of Electrical and Computer Engineering,2008-04-28,,,,2009-07-29,,,,47000.0
Bioletics,,2015-01-01,,,,,,,,15000.0
Surentez,School of Aerospace Engineering,2015-07-01,2014-10-22,2015-07-01,2015-12-31,,,,,50000.0
HDConnect,School of Electrical and Computer Engineering,2008-08-08,,,,2008-11-20,,,,60000.0
Plum Combustion,School of Aerospace Engineering,2006-01-01,,,,2006-01-01,2008-12-01,,,368300.0
GTC (Factory IS),Georgia Tech Manufacturing Institute,2008-10-27,,,,2008-11-20,,,,50000.0
Tumor Monorail,Department of Biomedical Engineering,2014-07-01,,,,,,,,6760000.0
Terminal Velocity Aerospace,School of Aerospace Engineering,2012-01-19,2012-03-12,,,2012-02-27,2014-02-27,,2014-07-01,1023563.0
Tacticity,College of Computing,2012-04-02,,,,2012-04-02,,,,36000.0
Polytherm,School of Mechanical Engineering,2015-10-01,,2015-10-01,2016-03-31,2016-06-07,,,,75000.0
AGL,GTRI,2014-02-10,2013-10-16,,,2014-11-01,,,,3550000.0
Pramana,School of Computer Science,2007-06-30,,,,,,2008-09-16,,1600000.0
Reduced Graphite Oxide PV,School of Chemistry & Biochemistry,2014-04-27,,,,2014-08-20,,,,50000.0
Reversible Grasping,,2014-03-10,,,,2014-03-10,,,,25000.0
Doolittle - Aligned Crystals,School of Electrical and Computer Engineering,2016-03-14,,,2016-05-17,,,,,50000.0
Ultrafast All Optical Camera,School of Electrical and Computer Engineering,2013-07-01,,2013-07-01,2013-12-31,2014-08-20,,,,99869.0
Sophia Bioscience,School of Chemistry & Biochemistry,2012-06-01,2012-10-23,,,2012-07-16,,,,302900.0
CardioMEMS,School of Electrical and Computer Engineering,2001-07-01,,,,,,,,583412230.0
Sub-Micro,School of Applied Biological Sciences,2007-07-01,,,,2008-10-06,2011-02-23,,,125000.0
Lukari,,2011-07-26,2013-07-24,,,2011-11-23,,,,25000.0
Realtime Handheld Multispectral Imager,Department of Biomedical Engineering,2009-11-23,,,,2010-01-27,,,,50000.0
AwareSite,School of Civil and Environmental Engineering,2015-04-01,,2015-04-01,2015-09-30,,,,,50000.0
Diligent Droids,School of Interactive Computing,2015-07-01,,2015-07-01,2015-12-31,,,,,274646.0
High Surface Area Carbon Electrodes,School of Materials Science and Engineering,2014-05-14,,,,2014-08-21,,,,50000.0
Toolset for Lifetime Evaluation of Circuits and Systems,School of Electrical and Computer Engineering,2015-10-01,,2015-10-01,2016-03-31,,,,,50000.0
BlindSpot,School of Interactive Computing,2006-01-01,,,,2006-01-01,2006-08-01,,,100000.0
Sayana Wireless,School of Electrical and Computer Engineering,2008-01-01,,,,,2008-10-27,,,1350000.0
Synedria,School of Interactive Computing,2006-01-01,,,,2006-01-01,,,,50000.0
A Clinician's Segmentation/Registration Tool,School of Electrical and Computer Engineering,2012-10-01,,2012-10-01,2013-03-31,,,,,50000.0
Neuromorfix,School of Electrical and Computer Engineering,2009-03-23,,,,2009-09-04,,,2009-04-01,1849700.0
Reversible adhesive technology,GTRI,2012-06-04,,,,2012-07-16,,,,50000.0
TASSER Informatics,School of Applied Biological Sciences,2008-03-31,,,,,,,,50000.0
Zenda Technologies,Department of Biomedical Engineering,2006-01-01,,,,2006-01-01,2006-10-01,2008-12-12,,500000.0
Reactive oxygen species (ROS) Probes,Department of Biomedical Engineering,2008-10-27,,,,2010-01-27,,,,50000.0
Polaritek Systems,School of Mechanical Engineering,2011-07-27,2011-07-13,,,2011-08-23,2012-07-16,,,192300.0
Smart Grid,School of Electrical and Computer Engineering,2012-01-11,,,,,,,,2050000.0
Climate Forecast Applications,School of Earth & Atmospheric Sciences,2007-04-01,,,,,,,,975000.0
OpenCell,School of Mechanical Engineering,2009-01-01,,,,2009-08-31,,,,1337295.0
Chromanostics,School of Chemical and Biomolecular Engineering,2015-11-30,2016-06-10,,2016-05-17,,,,,50000.0
TiSES,School of Materials Science and Engineering,2013-07-15,2015-06-17,,,2013-10-03,,,,25000.0
BetterWalk,,2013-04-01,,2014-04-01,2014-09-30,,,,,650000.0
Micron Biomedical,School of Chemical and Biomolecular Engineering,2009-01-16,,,,2009-02-05,,,,4975650.0
Merlin Mobility,Interactive Media Technology Center,2010-10-11,2011-05-26,,,2010-11-11,,,,60000.0
Axion Biosystems,Department of Biomedical Engineering,2008-03-31,,,,,2008-11-20,2009-05-26,,9515335.0
AirBox,College of Computing,2015-11-20,,,2016-07-01,,,,,50000.0
Tarantula Testing,College of Computing,2012-06-01,,,2012-12-31,,,,,50000.0
Garimella Cooling,School of Mechanical Engineering,2008-07-24,,2015-07-01,2015-12-31,2008-11-20,2012-01-25,,,430767.0
Inquus,College of Computing,2008-03-31,,,,,2008-11-20,2009-02-11,,1068884.0
InvisiCool,School of Mechanical Engineering,2012-11-20,,,,2014-03-10,,,,59324.0
WiRider,School of Electrical and Computer Engineering,2008-05-09,,,,2008-10-06,,,,60000.0
Lena Biosciences,Department of Biomedical Engineering,2008-04-11,,,,2010-11-11,2011-08-23,,2015-12-15,675000.0
MetaboScan Diagnostics,,2008-10-27,,,,2008-11-20,,,,50000.0
Nanotailored Carbon Fibers,School of Materials Science and Engineering,2008-03-31,,,,2009-04-15,,,,1065932.0
iTrem,GTRI,2012-04-05,,,,,,,,25000.0
Terabit Photonics,School of Electrical and Computer Engineering,2006-10-01,,,,2006-10-01,,,,89980.0
Femto-Relay,School of Electrical and Computer Engineering,2010-11-22,,,,2011-02-23,,,,46000.0
Integris,School of Mechanical Engineering,2008-03-31,,,,,,,,53500.0
SmartMenu,School of Interactive Computing,2011-10-01,,2011-10-01,2012-03-31,,,,,50000.0
Prosumer Grid,School of Electrical and Computer Engineering,2013-09-16,2014-07-16,2014-07-01,2014-12-31,,,,,3050000.0
Vertera,School of Mechanical Engineering,2013-07-15,2013-04-17,,,2013-10-03,2015-05-08,,,1674853.0
Innovolt,School of Electrical and Computer Engineering,2006-01-01,,,,2006-01-01,,,,3575000.0
PSiSense,School of Physics,2006-01-01,,,,2006-01-01,,,,50500.0
Smartview Technologies,School of Electrical and Computer Engineering,2012-01-19,,,,2012-02-27,,,,50000.0
Smart Router,College of Computing,2008-03-31,,,,,,,,25000.0
SymBioX,School of Chemistry & Biochemistry,2011-06-01,2014-06-27,,,2011-07-01,,,,30000.0
Yahtzee,Department of Biomedical Engineering,2007-07-01,,,,,,,,25000.0
VLP Encapsulation,School of Chemistry & Biochemistry,2014-05-15,,,,2014-08-20,,,,25000.0
UrjaNet,Scheller College of Business,2009-06-08,,,,2009-08-31,2010-02-25,2010-08-04,,7550000.0
Genel Systems,School of Chemistry & Biochemistry,2007-02-01,,,,,,,,50000.0
DDM Systems,School of Mechanical Engineering,2012-01-19,2014-02-04,,,2012-02-27,2013-02-20,2014-06-12,,5970000.0
ZooZ Mobile,School of Music,2008-03-31,,,,,,2009-09-03,2012-01-01,973210.0
Apica Cardiovascular,Department of Biomedical Engineering,2008-03-31,,,,2008-11-20,2009-07-29,2011-03-23,,80500000.0
NanoGrip,School of Electrical and Computer Engineering,2008-08-22,,,,2009-09-04,,,,43000.0
Zyrobotics,School of Electrical and Computer Engineering,2012-07-01,2013-09-25,2012-07-01,2013-01-01,2013-01-08,2014-05-29,,2015-01-01,1284214.0
Cenocell,School of Civil and Environmental Engineering,2008-06-13,,,,,,,,9800.0
HeartSense,,2009-01-21,,,,,,,,10000.0
Array sensors,School of Aerospace Engineering,2009-07-26,,,,2009-08-31,2010-08-04,,,92000.0
Pointivo,School of Electrical and Computer Engineering,2012-03-01,2015-06-29,2012-03-01,2012-08-31,2014-10-01,,,2016-09-06,1777000.0
Mechanix,,2015-07-01,,2015-07-01,2015-12-31,,,,,50000.0
LumoFlex,School of Chemistry & Biochemistry,2005-01-01,,,,2005-01-01,2006-01-01,,,150000.0
Vehicle Monitoring Technologies (VMT),School of Civil and Environmental Engineering,2008-03-31,,,,,2008-11-20,,,100000.0
